product,price_after_sale,price_before_sale
SUN-DVTF-006,EGP 1.359.00,EGP 1.699.00
SUN-DVTF-009,EGP 1.199.00,EGP 1.499.00
SUN-DVTF-001,EGP 1.199.00,EGP 1.499.00
PRD-DVTH-019,EGP 1.007.00,EGP 1.549.00
LID-DVTF-031,EGP 999.00,EGP 1.249.00
LID-DVTF-001,EGP 1.039.00,EGP 1.299.00
LID-DVTF-037,EGP 1.039.00,EGP 1.299.00
LID-DVTF-002,EGP 879.00,EGP 1.099.00
SUN-DVTF-004,EGP 1.399.00,EGP 1.749.00
SUN-DVTF-007,EGP 1.519.00,EGP 1.899.00
GPS-DVTF-008,EGP 1.599.00,EGP 1.999.00
PRD-DVTF-006,EGP 1.399.00,EGP 1.749.00
SUN-DVTF-003,EGP 1.519.00,EGP 1.899.00
TEN-DVTH-007,EGP 1.013.00,EGP 1.559.00
TEN-DVTH-006,EGP 1.104.00,EGP 1.699.00
TEN-DVTH-001,EGP 1.359.00,EGP 1.699.00
SUN-DVTH-008,EGP 1.072.00,EGP 1.649.00
SUN-DVTH-003,EGP 1.072.00,EGP 1.649.00
PRD-DVTH-026,EGP 1.137.00,EGP 1.749.00
PRD-DVTH-010,EGP 1.202.00,EGP 1.849.00
GPS-DVTH-051,EGP 1.169.00,EGP 1.799.00
GPS-DVTH-041,EGP 1.169.00,EGP 1.799.00
GPS-DVTH-037,EGP 1.039.00,EGP 1.599.00
GPS-DVTH-019,EGP 1.137.00,EGP 1.749.00
GPS-DVTH-016,EGP 1.137.00,EGP 1.749.00
GPS-DVTH-013,EGP 1.104.00,EGP 1.699.00
XKK-DVTT-005,EGP 584.00,EGP 899.00
XKK-DVTT-004,EGP 643.00,EGP 989.00
TEN-DVTT-007,EGP 649.00,EGP 999.00
GER-DVTT-015,EGP 649.00,EGP 999.00
BAY-DVTT-009,EGP 649.00,EGP 999.00
GPS-AW21-005,EGP 608.00,EGP 935.00
GER-AW21-014,EGP 675.00,EGP 1.039.00
GER-AW21-006,EGP 614.00,EGP 945.00
BAY-AW21-009,EGP 630.00,EGP 969.00
GOR-DVTH-011,EGP 1.279.00,EGP 1.599.00
GPS-DVTH-018,EGP 1.399.00,EGP 1.749.00
GPS-DVTH-022,EGP 1.439.00,EGP 1.799.00
