job_title,company_name,job_type
2D illustrator / Designer,Confidential -,Full Time
Illustrator,Confidential -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Confidential -,Full Time
Senior Graphic Designer,NewTech Company -,Full Time
Graphic Designer Freelancer,Power Solutions -,Full Time
Senior Graphic Designer,Maxevia Corporate -,Full Time
Social Media Graphic Designer,Plexus Digital Solutions -,Full Time
Senior Graphic Designer,HIGH SOLVE -,Full Time
Graphic Designer,STIO Life Science -,Full Time
Graphic Designer,Easy Cash -,Full Time
Graphic Designer,HK Designs -,Full Time
Graphic Designer,TIQNIA -,Full TimePart Time
Senior Designer - Multimedia - Freelance - Leo Burnett,Qureos -,Full Time
Digital Designer - Middle East Communication Network,Qureos -,Full Time
